"IUCN_binomial","trait_binomial","phylogeny_binomial","body_mass_median","litter_clutch_size","activity","hab_breadth","volant","diet_5cat","range_size_decimaldegrees","range_size_km2","threat"
"Akodon_cursor","Akodon_cursor","Akodon_cursor",39.84,3,2,1,1,4,70.5677283164211,828536.678128649,"LC"
"Akodon_dayi","Akodon_dayi","Akodon_dayi",32.5,3,2,1,1,4,24.3978604648,290923.215196686,"LC"
"Akodon_dolores","Akodon_dolores","Akodon_dolores",50.49,3.89,2,1,1,4,5.22635518687,55126.4454719093,"LC"
"Akodon_fumeus","Akodon_fumeus","Akodon_fumeus",22.7,NA,2,3,1,4,12.8435035144,151919.740116784,"LC"
"Akodon_iniscatus","Akodon_iniscatus","Akodon_iniscatus",28.7,NA,2,4,1,4,62.143916820839,573873.733638506,"LC"
"Akodon_juninensis","Akodon_juninensis","Akodon_juninensis",38.99,NA,2,3,1,4,9.57618070950405,116148.449200713,"LC"
"Akodon_kofordi","Akodon_kofordi","Akodon_kofordi",29.49,NA,2,3,1,4,1.1392205901433,13691.7900516178,"LC"
"Neomicroxus_latebricola","Akodon_latebricola","Akodon_latebricola",38.99,NA,2,NA,1,4,0.487042064767,6031.89177443837,"VU"
"Akodon_leucolimnaeus","Akodon_leucolimnaeus","Akodon_leucolimnaeus",27.5,4.18,2,1,1,4,0.0303827252014,337.980148902328,"DD"
"Akodon_lindberghi","Akodon_lindberghi","Akodon_lindberghi",26.4,NA,2,1,1,4,0.5904993536303,6858.80488507711,"DD"
"Akodon_lutescens","Akodon_lutescens","Akodon_lutescens",20.69,NA,2,6,1,4,10.1097021361,119217.760312676,"LC"
"Akodon_mimus","Akodon_mimus","Akodon_mimus",23.99,NA,2,4,1,4,4.85297252138,57746.8237518002,"LC"
"Akodon_molinae","Akodon_molinae","Akodon_molinae",33,3.77,2,4,1,4,44.1214194407642,429881.132272912,"LC"
"Akodon_mollis","Akodon_mollis","Akodon_mollis",30.39,NA,2,5,1,4,21.7062066048,267379.07437533,"LC"
"Akodon_montensis","Akodon_montensis","Akodon_montensis",34.65,3,2,2,1,4,93.691059543958,1055142.33918817,"LC"
"Akodon_mystax","Akodon_mystax","Akodon_mystax",28.3,NA,2,2,1,4,0.04079182508805,472.950704596821,"DD"
"Akodon_neocenus","Akodon_neocenus","Akodon_neocenus",42.39,3,2,2,1,4,3.7358654311,35793.6932024356,"DD"
"Akodon_oenos","Akodon_oenos","Akodon_oenos",32.51675676,3,2,2,1,4,0.0903752148622,944.563743558841,"DD"
"Akodon_orophilus","Akodon_orophilus","Akodon_orophilus",38.99,NA,2,5,1,4,2.77495738005,34123.1431695229,"LC"
"Akodon_paranaensis","Akodon_paranaensis","Akodon_paranaensis",31.32,NA,2,2,1,4,29.6712151568727,324650.877227708,"LC"
"Akodon_pervalens","Akodon_pervalens","Akodon_pervalens",32.51675676,3,2,2,1,4,2.52644459506,29246.4074199215,"DD"
"Akodon_philipmyersi","Akodon_philipmyersi","Akodon_philipmyersi",23,NA,NA,1,1,NA,0.193344370353,2121.77552610968,"DD"
"Akodon_reigi","Akodon_reigi","Akodon_reigi",31.32,NA,2,1,1,4,6.33877430243,66066.6735160165,"LC"
"Akodon_sanctipaulensis","Akodon_sanctipaulensis","Akodon_sanctipaulensis",27.1,NA,2,NA,1,4,0.0675446101504,761.547396795526,"DD"
"Akodon_serrensis","Akodon_serrensis","Akodon_serrensis",28.3,NA,2,1,1,4,24.608913654,277247.240477588,"LC"
"Akodon_siberiae","Akodon_siberiae","Akodon_siberiae",34.6,NA,2,1,1,4,2.73311413089,32319.0219067103,"NT"
"Akodon_simulator","Akodon_simulator","Akodon_simulator",42.5,3,2,3,1,4,14.0598850448,157472.425873515,"LC"
"Akodon_spegazzinii","Akodon_spegazzinii","Akodon_spegazzinii",28.6,4.18,2,3,1,4,5.13700995507,56962.0430286277,"LC"
"Akodon_subfuscus","Akodon_subfuscus","Akodon_subfuscus",30.39,4.18,2,3,1,4,14.3902353676806,172071.617034277,"LC"
"Akodon_surdus","Akodon_surdus","Akodon_surdus",38.99,NA,2,1,1,4,1.31901438952,15927.2610609685,"VU"
"Akodon_sylvanus","Akodon_sylvanus","Akodon_sylvanus",38.99,3,2,2,1,4,3.4238983124781,39508.7078598233,"LC"
"Akodon_toba","Akodon_toba","Akodon_toba",51.2,3,2,1,1,4,39.121673151,445764.398751779,"LC"
"Akodon_torques","Akodon_torques","Akodon_torques",38.99,NA,2,4,1,4,5.54574456086,67058.563897039,"LC"
"Akodon_varius","Akodon_varius","Akodon_varius",40,3,2,2,1,4,20.9691158712,245945.760733407,"DD"
"Alcelaphus_buselaphus","Alcelaphus_buselaphus","Alcelaphus_buselaphus",160937.9,1,1,8,1,1,576.008918836049,6896751.90520905,"LC"
"Alces_alces","Alces_alces","Alces_alces",356998.16,1.27,2,4,1,1,3606.41085068,23034010.2804206,"LC"
"Alionycteris_paucidentata","Alionycteris_paucidentata","Alionycteris_paucidentata",16.24,NA,2,1,2,2,0.526623573653,6459.23291817235,"LC"
"Allactaga_balikunica","Allactaga_balikunica","Allactaga_balikunica",82.79,2.52,2,2,1,1,26.0326100614,234789.830552349,"LC"
"Allactaga_bullata","Allactaga_bullata","Allactaga_bullata",80.925,2.52,2,2,1,1,173.617728309,1564380.72556919,"LC"
"Allactaga_elater","Allactaga_elater","Allactaga_elater",59,4.485,2,2,1,1,350.311771146097,3250239.97007452,"LC"
"Allactaga_euphratica","Allactaga_euphratica","Allactaga_euphratica",232,4.995,2,2,1,1,71.011330151,736287.776777586,"NT"
"Allactaga_firouzi","Allactaga_firouzi","Allactaga_firouzi",103.293227,NA,2,2,1,1,0.125374303374,1320.11020554924,"DD"
"Allactaga_hotsoni","Allactaga_hotsoni","Allactaga_hotsoni",76.5,NA,2,4,1,1,46.4652607892,499178.087307622,"LC"
"Allactaga_major","Allactaga_major","Allactaga_major",350,3.6175,2,2,1,1,537.1725164285,4292993.89246383,"LC"
"Allactaga_severtzovi","Allactaga_severtzovi","Allactaga_severtzovi",159,3.93,2,NA,1,1,77.81347981939,706721.887387852,"LC"
"Allactaga_sibirica","Allactaga_sibirica","Allactaga_sibirica",97.5,3.44,2,2,1,4,624.08583376357,5412535.66783648,"LC"
"Allactaga_tetradactyla","Allactaga_tetradactyla","Allactaga_tetradactyla",52,NA,2,2,1,1,2.18910484964478,23160.4734679306,"VU"
"Allactaga_vinogradovi","Allactaga_vinogradovi","Allactaga_vinogradovi",61.83099239,4.5,2,1,1,1,5.91046565339,53757.8214040631,"NT"
"Allactaga_williamsi","Allactaga_williamsi","Allactaga_williamsi",116.74,5,2,1,1,1,72.431047012906,706878.585287002,"LC"
"Allactodipus_bobrinskii","Allactodipus_bobrinskii","Allactodipus_bobrinskii",65.15,5.15,2,1,1,1,31.35411752572,275832.822104858,"LC"
"Allenopithecus_nigroviridis","Allenopithecus_nigroviridis","Allenopithecus_nigroviridis",4749.96,1.005,1,2,1,5,41.15081429706,509751.957043709,"LC"
"Allocebus_trichotis","Allocebus_trichotis","Allocebus_trichotis",78.09,1,2,2,1,5,3.62608469312,43083.4835110006,"VU"
"Allocricetulus_curtatus","Allocricetulus_curtatus","Allocricetulus_curtatus",47.83,5.19,2,1,1,1,154.16906005554,1332106.50965792,"LC"
"Allocricetulus_eversmanni","Allocricetulus_eversmanni","Allocricetulus_eversmanni",115.559,4.99,2,5,1,1,224.348144288,1774706.65625593,"LC"
"Alouatta_arctoidea","Alouatta_arctoidea","Alouatta_arctoidea",6361.288889,1.31,1,3,1,1,33.40839283481,409145.10070959,"LC"
"Alouatta_belzebul","Alouatta_belzebul","Alouatta_belzebul",6157.91,NA,1,3,1,1,70.780076583659,872403.479456482,"VU"
"Alouatta_caraya","Alouatta_caraya","Alouatta_caraya",5576.96,1.005,1,4,1,1,261.886850396,3080805.45612824,"LC"
"Alouatta_discolor","Alouatta_discolor","Alouatta_discolor",6361.288889,NA,NA,2,1,NA,30.7343304227,378199.528426929,"VU"
"Alouatta_guariba","Alouatta_guariba","Alouatta_guariba",5188.33,NA,1,5,1,1,95.1871842956,1081581.24042775,"LC"
"Alouatta_juara","Alouatta_juara","Alouatta_juara",6361.288889,NA,NA,NA,1,NA,190.639252011,2353150.27535402,"LC"
"Alouatta_macconnelli","Alouatta_macconnelli","Alouatta_macconnelli",6398.31,1.2,1,4,1,1,143.583109405,1774982.41465715,"LC"
"Alouatta_nigerrima","Alouatta_nigerrima","Alouatta_nigerrima",6320,NA,1,3,1,1,19.263742710226,237676.645338083,"LC"
"Alouatta_palliata","Alouatta_palliata","Alouatta_palliata",6576.99,1.01,1,4,1,1,46.9823709347631,570980.644743775,"LC"
"Alouatta_pigra","Alouatta_pigra","Alouatta_pigra",7172.06,1.0075,1,4,1,1,20.494257189,241278.460510549,"EN"
